Agency,City,State,NTD ID,Organization Type,Reporter Type,Report Year,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Mode Name,TOS,Mode VOMS,Capital Use Type,Guideway,Guideway Questionable,Stations,Stations Questionable,Administrative Buildings,Administrative Buildings Questionable,Maintenance Buildings,Maintenance Buildings Questionable,Passenger Vehicles,Passenger Vehicles Questionable,Other Vehicles,Other Vehicles Questionable,Fare Collection Equipment,Fare Collection Equipment Questionable,Communication & Information Systems,Communication & Information Systems Questionable,Other,Other Questionable,Reduced Reporter Expenses,Reduced Reporter Questionable,Total,Total Questionable
Region Six Planning Commission/PeopleRides,Marshalltown,IA,70219,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,13,DR,Demand Response,DO,13,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"4,715",,"4,715",
City of Gadsden,Gadsden,AL,40049,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,32113,"Gadsden, AL","57,975",12,DR,Demand Response,DO,8,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"26,464",,"26,464",
Kimball County Public Transit,Kimball,NE,70200,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,12,DR,Demand Response,DO,12,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"15,248",,"15,248",
"Delta Community Action Foundation, Inc.",Lindsay,OK,60183,Private-Non-Profit Corporation,Rural Reporter,2022,,,,10,DR,Demand Response,DO,10,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"95,973",,"95,973",
Coos County Area Transit,Coos Bay,OR,00307,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,12,CB,Commuter Bus,DO,4,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"10,937",,"10,937",
Wayne County Transit,Jesup,GA,41142,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,12,DR,Demand Response,DO,12,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"3,930",,"3,930",
"Gunnison Valley Transportation Authority, dba: Gunnison Valley RTA",Gunnison,CO,80150,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,12,CB,Commuter Bus,PT,8,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"2,393,225",,"2,393,225",
"Warren County Transit Authority, dba: Transit Authority of Warren County",Warren,PA,30124,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,12,DR,Demand Response,DO,9,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"160,220",,"160,220",
Clinton Municipal Transit Administration,Clinton,IA,70173,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,12,MB,Bus,DO,6,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"91,100",,"91,100",
Tuscaloosa County Parking and Transit Authority,Tuscaloosa,AL,40045,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2022,89110,"Tuscaloosa, AL","156,450",12,MB,Bus,DO,7,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"2,101,774",,"2,101,774",
SNTC-Laughlin,Laughlin,NV,91072,Private-Non-Profit Corporation,Rural Reporter,2022,11431,"Bullhead City, AZ--NV","54,396",12,DR,Demand Response,DO,5,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"25,993",,"25,993",
Macon County,Franklin,NC,41191,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,12,DR,Demand Response,DO,9,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"1,371",,"1,371",
Coos County Area Transit,Coos Bay,OR,00307,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,12,MB,Bus,DO,3,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"44,266",,"44,266",
City of Mitchell - Palace Transit,Mitchell,SD,80116,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,12,DR,Demand Response,DO,12,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"182,298",,"182,298",
"Boone County Senior Services, dba: Boone Area Transit System",Lebanon,IN,50230,Private-Non-Profit Corporation,Rural Reporter,2022,,,,12,DR,Demand Response,DO,12,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"26,690",,"26,690",
City of Whittier,Whittier,CA,90295,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",12,DR,Demand Response,PT,12,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"560,348",,"560,348",
Belknap-Merrimack CAP/Concord Area Transit,Concord,NH,10161,Private-Non-Profit Corporation,Rural Reporter,2022,33,New Hampshire Non-UZA,"768,345",12,MB,Bus,DO,3,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"297,499",,"297,499",
"Mid-County Transit Authority, dba: Town and Country Transit",Kittanning,PA,30194,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,12,MB,Bus,DO,3,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"13,931",,"13,931",
"Comanche Nation, dba: Comanche Nation Transit",Lawton,OK,60005,Tribe,Reduced Reporter,2022,40,Oklahoma Non-UZA,"1,994,607",12,DR,Demand Response,DO,12,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"350,550",,"350,550",
"Washington County , dba: Washington County Transit",Hagerstown,MD,30042,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,36190,"Hagerstown, MD--WV--PA--VA","197,557",12,MB,Bus,DO,8,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"2,063,113",,"2,063,113",
"City of Scottsdale , dba: Scottsdale Trolley",Scottsdale,AZ,90131,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,69184,"Phoenix--Mesa--Scottsdale, AZ","3,976,313",12,MB,Bus,PT,12,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,0,,0,,0,,"28,357",,"113,882",,0,,"142,239",
"City of Concord, dba: Concord Kannapolis Area Transit (Rider)",Concord,NC,40167,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,19558,"Concord, NC","278,612",12,MB,Bus,PT,8,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"1,436,303",,"1,436,303",
Carroll County Transit,Carrollton,OH,50255,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,12,DR,Demand Response,DO,12,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"75,461",,"75,461",
Carteret County,Beaufort,NC,40944,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,12,DR,Demand Response,DO,12,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"180,678",,"180,678",
"Pahrump Senior Center, Inc.",Pahrump,NV,99430,Private-Non-Profit Corporation,Rural Reporter,2022,,,,12,DR,Demand Response,DO,12,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"62,628",,"62,628",
Sunset Empire Transportation District,Astoria,OR,00331,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,12,MB,Bus,DO,7,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"622,335",,"622,335",
Scioto County/Access Scioto County,Portsmouth,OH,50363,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,12,DR,Demand Response,DO,12,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"67,286",,"67,286",
"City of Danville, dba: Danville Mass Transit",Danville,IL,50174,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,15211,"Champaign, IL","147,452",12,MB,Bus,DO,10,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"2,103,165",,"2,103,165",
"City of Rome , dba: City of Rome Transit Department",Rome,GA,40058,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,76204,"Rome, GA","60,403",12,MB,Bus,DO,6,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"2,527,666",,0,,0,,"20,284",,0,,0,,"2,547,950",
City of Gadsden,Gadsden,AL,40049,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,32113,"Gadsden, AL","57,975",12,MB,Bus,DO,4,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"19,164",,"19,164",
SNTC-Laughlin,Laughlin,NV,91072,Private-Non-Profit Corporation,Rural Reporter,2022,11431,"Bullhead City, AZ--NV","54,396",12,CB,Commuter Bus,DO,2,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"17,190",,"17,190",
Municipality of Bayamon,Bayamon,PR,40137,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,79093,"San Juan, PR","1,844,410",12,MB,Bus,DO,9,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"404,772",,"404,772",
Coos County Area Transit,Coos Bay,OR,00307,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,12,DR,Demand Response,DO,4,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"3,325",,"3,325",
Tuolumne County Transit,Sonora,CA,91057,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,12,MB,Bus,PT,4,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"58,640",,"58,640",
"Gunnison Valley Transportation Authority, dba: Gunnison Valley RTA",Gunnison,CO,80150,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,12,DR,Demand Response,PT,4,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"76,518",,"76,518",
Avery County Transportation Authority,Newland,NC,41130,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,12,DR,Demand Response,DO,12,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"12,307",,"12,307",
SNTC-Laughlin,Laughlin,NV,91072,Private-Non-Profit Corporation,Rural Reporter,2022,11431,"Bullhead City, AZ--NV","54,396",12,MB,Bus,DO,5,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"150,995",,"150,995",
Sampson County,Clinton,NC,40933,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,12,DR,Demand Response,DO,12,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"46,038",,"46,038",
City of Mason City,Mason City,IA,70260,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,12,MB,Bus,DO,12,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"335,860",,"335,860",
Central Oklahoma Community Action Agency,Shawnee,OK,60259,Private-Non-Profit Corporation,Rural Reporter,2022,,,,12,DR,Demand Response,DO,12,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"73,255",,"73,255",
Ogemaw County Public Transportation,West Branch,MI,50344,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,12,DR,Demand Response,DO,12,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"12,937",,"12,937",
N-Route,Vicksburg,MS,40957,Private-Non-Profit Corporation,Rural Reporter,2022,,,,12,DR,Demand Response,DO,12,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"101,988",,"101,988",
"City of Rome , dba: City of Rome Transit Department",Rome,GA,40058,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,76204,"Rome, GA","60,403",12,DR,Demand Response,DO,6,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"506,628",,"33,211",,0,,0,,"26,547",,0,,"566,386",
"City of Durango, dba: Durango Transit",Durango,CO,80206,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,12,MB,Bus,DO,10,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"132,000",,"132,000",
"City of Monroe , dba: Monroe Transit System",Monroe,LA,60026,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,58330,"Monroe, LA","119,964",12,MB,Bus,DO,10,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"1,377,167",,"1,377,167",
"City of Porterville, dba: Porterville Transit",Porterville,CA,90198,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,71074,"Porterville, CA","69,862",11,MB,Bus,PT,6,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"1,356,962",,"1,356,962",
Skamania County Senior Services,Stevenson,WA,00336,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,11,MB,Bus,DO,3,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"106,981",,"106,981",
Catoosa County,Ringgold,GA,41086,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,15832,"Chattanooga, TN--GA","398,569",11,DR,Demand Response,DO,11,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"126,642",,"126,642",
Butte Silver Bow Transit,Butte,MT,80174,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,11,DR,Demand Response,DO,5,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"164,497",,"164,497",
"Community Coordinated Transportation System, dba: River Cities Public Transit",Pierre,SD,80298,Private-Non-Profit Corporation,Reduced Reporter,2022,82252,"Sioux Falls, SD","194,283",11,DR,Demand Response,DO,11,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"154,634",,"154,634",
Cheyenne River Sioux Tribe,Eagle Butte,SD,88158,Tribe,Reduced Reporter,2022,46,South Dakota Non-UZA,"599,629",11,DR,Demand Response,PT,11,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"24,000",,"24,000",
Steel Valley Regional Transit Authority,Steubenville,OH,50142,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2022,84859,"Steubenville--Weirton, OH--WV--PA","64,981",11,MB,Bus,DO,10,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"25,010",,"25,010",
"City of Annapolis, dba: Annapolis Department of Transportation",Annapolis,MD,30040,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,4843,"Baltimore, MD","2,212,038",11,MB,Bus,DO,10,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"765,094",,"765,094",
"Zia Therapy Center, Inc.",Alamogordo,NM,60206,Private-Non-Profit Corporation,Reduced Reporter,2022,47935,"Las Cruces, NM","139,338",11,MB,Bus,DO,8,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"57,908",,"57,908",
"City of Franklin , dba: Franklin Transit Authority",Franklin,TN,40162,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,61273,"Nashville-Davidson, TN","1,158,642",11,MB,Bus,PT,6,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"94,304",,"94,304",
"City of Moorhead, dba: Metropolitan Area Transit",Moorhead,MN,50026,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,29089,"Fargo, ND--MN","216,214",11,MB,Bus,PT,8,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,"19,013",,0,,0,,0,,0,,0,,0,,"19,013",
Okanogan County Transportation & Nutrition,Omak,WA,00332,Private-Non-Profit Corporation,Rural Reporter,2022,,,,11,DR,Demand Response,DO,8,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"232,842",,"232,842",
Lewis County,Lowville,NY,20925,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,11,MB,Bus,PT,9,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"972,292",,"972,292",
"Developmental Services of Northwest Kansas, Inc.",Hays,KS,70060,Private-Non-Profit Corporation,Rural Reporter,2022,,,,11,DR,Demand Response,DO,10,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"42,034",,"42,034",
Edgefield County Senior Citizens Council,,SC,40988,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,11,DR,Demand Response,DO,11,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"69,295",,"69,295",
Martin County,Stuart,FL,40192,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,71479,"Port St. Lucie, FL","437,745",11,MB,Bus,PT,7,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,0,,"21,566",,0,,0,,"28,635",,0,,"50,201",
"City of Jonesboro , dba: Jonesboro Economical Transportation System",Jonesboro,AR,60104,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,43345,"Jonesboro, AR","73,781",11,MB,Bus,DO,7,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"198,349",,"198,349",
Madison County Citizens Services Agency,Canton,MS,40969,Private-Non-Profit Corporation,Rural Reporter,2022,,,,11,DR,Demand Response,DO,11,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"19,066",,"19,066",
Burlington Urban Service,Burlington,IA,70111,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,11,MB,Bus,DO,11,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"222,772",,"222,772",
"San Francisco Bay Area Water Emergency Transportation Authority, dba: San Francisco Bay Ferry",San Francisco,CA,90225,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78904,"San Francisco--Oakland, CA","3,515,933",11,FB,Ferryboat,PT,11,Uses of Capital (F-20) - Expansion of Service,0,,0,,0,,0,,"6,416,076",,0,,0,,0,,0,,0,,"6,416,076",
Greene County - PA,Waynesburg,PA,31040,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,11,DR,Demand Response,DO,11,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"150,048",,"150,048",
Calaveras Transit Agency,San Andreas,CA,99442,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,11,MB,Bus,PT,6,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"21,894",,"21,894",
City of Fort Lauderdale,Fort Lauderdale,FL,44929,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,56602,"Miami--Fort Lauderdale, FL","6,077,522",11,MB,Bus,PT,10,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,0,,0,,0,,0,,"452,690",,0,,"452,690",
"City of Porterville, dba: Porterville Transit",Porterville,CA,90198,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,71074,"Porterville, CA","69,862",11,DR,Demand Response,PT,5,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"298,224",,"298,224",
Skamania County Senior Services,Stevenson,WA,00336,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,11,DR,Demand Response,DO,8,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"66,673",,"66,673",
"Senior Citizens of Sweet Home, Inc.",Sweet Home,OR,00348,Private-Non-Profit Corporation,Rural Reporter,2022,,,,11,DR,Demand Response,DO,2,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"79,892",,"79,892",
Shelby Public Transit,Sidney,OH,50497,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,11,DR,Demand Response,DO,11,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"17,212",,"17,212",
Bois Forte Reservation Tribal Council,Orr,MN,55252,Tribe,Reduced Reporter,2022,27,Minnesota Non-UZA,"2,336,986",11,DR,Demand Response,DO,8,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"90,979",,"90,979",
Eastern Upper Peninsula Transportation Authority,Sault Sainte Marie,MI,50241,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,11,FB,Ferryboat,DO,3,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"3,376,228",,"3,376,228",
"Sunflower-Humphreys Counties Progress, Inc.",,MS,44978,Private-Non-Profit Corporation,Rural Reporter,2022,,,,11,DR,Demand Response,DO,11,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"53,637",,"53,637",
"Miami County YMCA , dba: YMCA - Miami County Public Transit",Peru,IN,50454,Private-Non-Profit Corporation,Rural Reporter,2022,,,,11,DR,Demand Response,DO,11,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"97,713",,"97,713",
Spokane Tribe of Indians,Wellpinit,WA,00207,Tribe,Reduced Reporter,2022,53,Washington Non-UZA,"1,895,776",11,DR,Demand Response,DO,3,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"60,550",,"60,550",
Piatt County,Monticello,IL,50425,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,11,DR,Demand Response,DO,11,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"33,774",,"33,774",
Milford Transit District,Milford,CT,10107,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,10162,"Bridgeport--Stamford, CT--NY","916,408",11,DR,Demand Response,DO,5,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"169,209",,0,,0,,0,,0,,0,,"169,209",
"City of Jonesboro , dba: Jonesboro Economical Transportation System",Jonesboro,AR,60104,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,43345,"Jonesboro, AR","73,781",11,DR,Demand Response,DO,4,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"72,234",,"72,234",
